Assembly_accession	Organism_name	Species	Group	Isolation_source	Location
GCF_036210355.1	Bacillus paralicheniformis	Bacillus paralicheniformis	non_saline	soil	Israel: Evolution Canyon
GCF_036210515.1	Bacillus paralicheniformis	Bacillus paralicheniformis	non_saline	soil	Antarctica: Brown Bluff Island
GCF_002068155.1	Bacillus paralicheniformis	Bacillus paralicheniformis	non_saline	rhizosphere	China: Shandong
GCF_036210525.1	Bacillus paralicheniformis	Bacillus paralicheniformis	non_saline	soil	Antarctica: Paulet Island
GCF_026787105.1	Bacillus safensis	Bacillus safensis	non_saline	soil	India: Orissa
GCF_030292035.1	Bacillus safensis	Bacillus safensis	non_saline	pine forrest soil between two spruce trees	Germany: near Munchenroda, Jena
GCF_056781025.1	Bacillus pumilus	Bacillus pumilus	non_saline		China
GCF_026787785.1	Bacillus pumilus	Bacillus pumilus	non_saline	soil	France: Col du Grand Saint Bernard
GCF_027497645.1	Bacillus siamensis	Bacillus siamensis	non_saline	soil	Guatemala: San Vicente Pacaya
GCF_030273385.1	Bacillus subtilis	Bacillus subtilis	non_saline	rice garden soil	India: Jorhat, Assam
GCF_025460705.1	Bacillus subtilis	Bacillus subtilis	non_saline	petroleum contaminated soil	China: Maoming
GCF_013342875.1	Bacillus subtilis	Bacillus subtilis	non_saline	soil	China
GCF_018530835.1	Bacillus subtilis	Bacillus subtilis	non_saline	soil	China:Beijing, Haidian District, Zhongguancunnandajie, Chinese Agricultral of Academy Sciences
GCF_905310995.2	Bacillus subtilis	Bacillus subtilis	non_saline	community garden soil	United Kingdom
GCF_030643845.1	Bacillus subtilis	Bacillus subtilis	non_saline	Starch plant	China: Guangxi
GCF_035822435.1	Bacillus subtilis	Bacillus subtilis	non_saline	soil	Canada
GCF_029916985.1	Bacillus subtilis subsp. subtilis	Bacillus subtilis	non_saline	soil	China:Wuhan
GCF_035822295.1	Bacillus stercoris	Bacillus stercoris	non_saline	soil	Trinidad and Tobago: Trinidad
GCF_004116955.1	Bacillus vallismortis	Bacillus vallismortis	non_saline	soil	USA
GCF_003441635.1	Bacillus velezensis	Bacillus velezensis	non_saline	soil	USA
GCF_002005345.1	Bacillus velezensis	Bacillus velezensis	non_saline	rice paddy soil	Korea: Goheung
GCF_045344285.1	Bacillus velezensis	Bacillus velezensis	non_saline	soil	China: Hunan
GCF_021892375.1	Bacillus velezensis	Bacillus velezensis	non_saline	soil	Russia
GCF_037889395.1	Bacillus velezensis	Bacillus velezensis	non_saline	soil	China: Guangdong, Zhanjiang
GCF_044905085.1	Bacillus velezensis	Bacillus velezensis	non_saline	rhizosphere soil	China: chongqing
GCF_049354995.1	Bacillus velezensis	Bacillus velezensis	non_saline	soil	China: Guangxi Zhuang Autonomous Region
GCF_024919095.1	Bacillus velezensis	Bacillus velezensis	non_saline	Commercial plant nursery	Viet Nam: Da Lat
GCF_002117165.1	Bacillus velezensis	Bacillus velezensis	non_saline	rice rhizosphere soil	South Korea: Cheongwon
GCF_054889405.1	Bacillus velezensis	Bacillus velezensis	non_saline	soil isolate	Brazil: Parana
GCF_054187945.1	Bacillus velezensis	Bacillus velezensis	non_saline	soil	China:Qinghai
GCF_051131645.1	Bacillus velezensis	Bacillus velezensis	non_saline	soil	Thailand
GCF_054966515.1	Bacillus velezensis	Bacillus velezensis	non_saline	rhizosphere soil	China: Gansu, Min County
